    X           Y            F606W      F814W
   4448.6300   4094.1200     26.7080     22.9458
   5857.0600   4094.4600     26.8538     23.8039
   6113.3200   4094.3900     26.1655     22.8677
   6467.5900   4093.6400     20.7615     17.7945
   3537.2000   4094.5100     23.3790     20.5112
   4830.0600   4095.2900     25.3039     22.0392
   5424.2100   4094.6400     26.5098     23.2803
   6133.5000   4094.6000     26.2904     22.9545
   3465.0200   4095.6100     25.5336     22.4670
   4295.3800   4096.3000     25.5353     22.3981
   5893.4400   4095.7900     24.2960     21.3802
   6080.5400   4096.1100     26.5816     23.1346
   7230.5400   4095.9200     25.8755     22.9838
   3819.9600   4096.4700     26.3940     23.2660
   3915.2800   4096.4900     25.5819     22.4373
   5352.1300   4096.9400     27.3444     23.4367
   5531.4400   4097.1700     24.8300     21.9944
   6663.8600   4097.1200     24.8028     22.1489
   6750.0700   4097.3100     25.8402     23.4506
   5038.1800   4098.3800     25.6159     22.3988
   6318.4700   4097.5200     26.0051     22.9931
   6531.9600   4098.3000     25.5568     22.6189
   2759.3400   4099.3400     27.0706     23.7629
   5329.2000   4098.7900     27.0009     23.6844
   6395.2900   4099.9900     24.0268     20.8468
   7497.8200   4100.0700     25.7931     23.1244
   2573.2800   4100.6300     27.5978     22.7526
   3284.3700   4100.4300     26.4984     23.5672
   5625.5100   4101.2400     22.6003     19.5746
   7021.8500   4100.8500     25.5843     22.6970
   7381.4400   4101.3000     25.9773     22.8800
   5140.5800   4102.1100     26.5408     23.7199
   6188.2200   4102.3300     23.3407     20.6798
   4996.8500   4102.6800     25.5252     22.4700
   4667.1100   4104.3700     26.9119     23.7969
   5549.8700   4104.0900     25.7552     22.9342
   5839.3800   4104.0500     25.0674     22.2045
   6824.4000   4104.2100     19.9991     16.7975
   7160.1700   4104.2300     26.0848     23.2370
   3022.5600   4104.8600     26.0821     23.3851
   3430.4400   4104.8000     26.1311     23.3255
   5395.1800   4105.0500     26.8341     23.4585
   6005.9100   4105.2700     25.7894     22.9063
   4792.4100   4105.9900     26.3137     23.1353
   4899.8900   4106.2700     26.6687     23.3458
   5170.8600   4106.3000     26.3292     23.1801
   6033.0900   4105.5700     24.5944     21.6531
   6770.3200   4106.2600     25.9637     22.9852
   6931.1500   4105.4800     25.1401     22.2691
   6971.8800   4106.4800     24.7001     21.7852
   7412.0500   4106.0600     23.2087     20.3356
   2537.6700   4106.8600     25.6438     22.9293
   3785.0400   4106.5500     32.6866     21.9064
   3838.5300   4107.1800     26.8962     22.8299
   5309.2300   4106.5700     26.3633     22.8444
   5511.8300   4106.7100     24.9408     22.1428
   6075.8600   4107.4100     27.5212     23.6784
   6331.4400   4106.5100     26.7056     23.6022
   6607.8900   4106.6800     26.1926     23.1890
   2882.5200   4108.1500     26.0129     23.1890
   2976.6100   4107.9500     25.4883     22.4761
   3083.5800   4108.1100     24.9020     21.7334
   3768.9300   4108.0200     25.4967     22.2564
   3916.3200   4108.2500     21.1195     17.9164
   4499.9100   4107.6900     27.0339     23.6200
   7043.0700   4107.5400     25.1593     22.0167
   7250.4800   4108.4600     25.0168     22.1753
   4382.7300   4110.3200     27.1745     23.8380
   4857.6100   4109.7500     25.0824     21.9895
   4949.8300   4109.8400     27.0248     23.3347
   6739.6600   4109.9500     25.4113     22.5255
   7333.7200   4109.4700     26.1262     23.1131
   7368.2100   4110.3800     26.2624     23.5978
