   X             Y          F275W        F336W      F438W       F814W
   5086.4816   2877.4740     99.9999     18.9328     19.0184     17.1626
   5390.4646   2877.4314     23.5431     21.7455     21.5344     19.0170
   5918.3728   2877.7938     99.9999     99.9999     21.8733     19.1832
   6450.6778   2878.1112     99.9999     99.9999     99.9999     17.4675
   3731.8517   2878.8347     99.9999     99.9999     99.9999     17.1072
   6071.5470   2880.0612     99.9999     99.9999     99.9999     18.2105
   6320.2095   2880.4778     99.9999     99.9999     99.9999     19.7497
   3935.0200   2880.8928     99.9999     99.9999     99.9999     19.4467
   4670.4421   2880.7840     99.9999     99.9999     20.2054     18.1284
   5237.0711   2880.6301     23.5372     21.8042     21.4456     19.0148
   6184.9720   2881.2268     99.9999     99.9999     99.9999     18.4641
   6640.0852   2881.0366     99.9999     99.9999     99.9999     19.0079
   3920.5871   2882.1093     99.9999     99.9999     99.9999     19.4143
   4230.9578   2882.0894     99.9999     99.9999     99.9999     17.5967
   4602.5578   2881.5610     99.9999     99.9999     99.9999     19.9940
   5539.8960   2881.9248     99.9999     19.6479     19.7565     17.7193
   6154.1791   2881.7432     99.9999     99.9999     99.9999     18.5131
   5984.6742   2882.9553     99.9999     99.9999     99.9999     18.8377
   6253.2287   2882.5966     99.9999     99.9999     99.9999     18.9441
   4898.4796   2884.0830     99.9999     23.3665     22.5779     19.5963
   5187.2339   2883.9553     21.2980     20.1120     20.1948     18.0531
   5521.7072   2883.7419     19.7435     18.7756     18.8635     16.9213
   5929.5638   2884.9074     99.9999     99.9999     19.2382     17.2825
   4451.8088   2885.7893     99.9999     99.9999     99.9999     17.8289
   5137.1094   2886.3630     99.9999     23.7791     22.7580     19.7684
   3574.8037   2887.0769     99.9999     99.9999     99.9999     19.0752
   4667.2842   2887.1363     99.9999     99.9999     20.7349     18.5007
   4852.3838   2886.6645     99.9999     99.9999     23.1225     19.9377
   4934.0267   2886.5867     99.9999     19.4989     19.5739     17.5828
   5459.3241   2887.4967     20.8635     19.8066     19.9384     17.8563
   5608.8710   2886.9140     99.9999     21.6862     21.4005     18.9288
   6470.9440   2886.5076     99.9999     99.9999     99.9999     19.5355
   4975.2678   2887.7410     99.9999     22.8159     22.1806     19.4048
   6742.8921   2888.4507     99.9999     99.9999     99.9999     19.8360
   4473.0329   2889.4703     99.9999     99.9999     99.9999     19.3086
   5303.9081   2888.5352     19.3223     18.3468     18.4043     16.5110
   3999.2783   2890.4686     99.9999     99.9999     99.9999     19.7813
   4802.6737   2890.4332     99.9999     19.4790     19.5790     17.5711
   5315.4439   2889.6006     21.7577     20.4487     20.5087     18.3112
   6171.8463   2889.6133     99.9999     99.9999     99.9999     18.9001
   6684.8815   2890.3070     99.9999     99.9999     99.9999     18.8111
   4128.4044   2890.9317     99.9999     99.9999     99.9999     18.7990
   4571.2501   2891.0766     99.9999     99.9999     99.9999     19.1014
   6494.8207   2891.3135     99.9999     99.9999     99.9999     17.7462
   5283.8570   2891.8696     99.9999     24.3768     23.2504     19.9736
   5579.4620   2892.3429     99.9999     19.1025     19.2609     17.3176
   4504.6653   2892.7012     99.9999     99.9999     99.9999     18.2543
   5495.9363   2894.2485     99.9999     23.2926     22.5310     19.5746
   3826.0020   2894.5886     99.9999     99.9999     99.9999     16.5852
   5420.8458   2894.7383     22.7067     21.2210     21.0792     18.7445
   4650.7291   2895.6892     99.9999     99.9999     20.1550     18.0887
   5878.9981   2896.7568     99.9999     99.9999     21.5095     18.9529
   3956.7318   2897.9309     99.9999     99.9999     99.9999     17.9404
   4907.7459   2898.2409     99.9999     17.9319     17.7369     15.3658
   5953.0846   2898.4751     99.9999     99.9999     99.9999     19.4850
   6713.5335   2898.0016     99.9999     99.9999     99.9999     19.2217
   3647.2558   2899.2103     99.9999     99.9999     99.9999     17.1949
   4272.5838   2898.8698     99.9999     99.9999     99.9999     13.7906
   6579.3795   2898.7238     99.9999     99.9999     99.9999     19.6352
   4749.1093   2899.7558     99.9999     23.5622     22.7081     19.7199
   4838.5181   2899.8665     99.9999     99.9999     19.4808     17.5092
   4921.9140   2900.3024     99.9999     22.1098     21.6407     19.1206
   5242.6634   2899.8717     21.6089     20.3870     20.4188     18.2251
   4407.8642   2900.5842     99.9999     99.9999     99.9999     18.6833
   4866.4164   2901.3540     99.9999     99.9999     22.7842     19.7439
   3681.3113   2902.4273     99.9999     99.9999     99.9999     16.4614
   5556.5666   2901.7032     99.9999     23.0065     22.3499     19.5045
   6374.9198   2902.3855     99.9999     99.9999     99.9999     19.9595
   6723.1074   2902.2834     99.9999     99.9999     99.9999     17.6307
   4198.2488   2902.7576     99.9999     99.9999     99.9999     19.9378
   5997.0403   2902.9942     99.9999     99.9999     99.9999     17.3964
   3528.4296   2904.1656     99.9999     99.9999     99.9999     17.6382
   5594.0466   2903.5204     99.9999     23.4521     22.6144     19.7256
   4786.3002   2905.3895     99.9999     22.5901     21.9712     19.3169
   4120.2632   2906.3974     99.9999     99.9999     99.9999     18.3117
   3887.4801   2906.4991     99.9999     99.9999     99.9999     16.7002
   3932.7820   2907.1956     99.9999     99.9999     99.9999     18.5171
   4873.7189   2906.9266     99.9999     99.9999     22.6972     19.6953
   4984.1609   2906.8367     99.9999     23.6046     22.7073     19.7129
   5514.7051   2906.7573     20.8545     19.7745     19.8594     17.8167
   5909.8536   2906.9317     99.9999     99.9999     20.8109     18.5095
   6046.0388   2907.3986     99.9999     99.9999     99.9999     17.7181
   6399.2094   2906.9594     99.9999     99.9999     99.9999     19.7534
   3747.7981   2908.2504     99.9999     99.9999     99.9999     17.4280
   4052.4424   2908.8530     99.9999     99.9999     99.9999     17.6675
   5634.0507   2909.4570     99.9999     22.5107     21.9858     19.2701
   5827.3468   2909.3276     99.9999     19.3785     19.5070     17.5043
   4555.8333   2909.4803     99.9999     99.9999     99.9999     18.6626
   6692.2046   2910.2852     99.9999     99.9999     99.9999     17.1273
   5433.2975   2911.0749     99.9999     22.6394     22.0311     19.3097
   5660.2499   2910.7604     99.9999     20.9555     20.9206     18.5903
   6427.1201   2911.3420     99.9999     99.9999     99.9999     14.5833
   6676.0029   2911.4734     99.9999     99.9999     99.9999     19.1144
   3857.9717   2911.5376     99.9999     99.9999     99.9999     16.8728
   4610.0104   2912.1875     99.9999     99.9999     20.7093     18.4604
   5035.4128   2911.7570     99.9999     19.5822     19.6361     17.6444
   5935.1836   2911.5116     99.9999     99.9999     21.0478     18.6636
   5986.0564   2912.0837     99.9999     99.9999     99.9999     19.9929
   6536.1323   2912.4149     99.9999     99.9999     99.9999     19.9049
   3682.7095   2912.8764     99.9999     99.9999     99.9999     17.2671
   4140.9929   2912.8704     99.9999     99.9999     99.9999     17.1453
